"id","account_id","section_id","publication","published_on","occurred_on","query_name","query_id"
"133b2d43f47208bd578265c7dec5783dc01d8f7fbdf99deab973003e33c98fa2","51286","a883b4ac-6ce4-43ed-95eb-36e07f8a5de4","Boursier.com","2026-03-27T00:08:47.000Z","2026-03-27T00:15:26.070Z","Copy of CONCURRENTS(1)","a0232cbd-6330-48a2-abe2-436356d85f52"
"51f701ade2f25c0ab75f949203ccb95dbf5984c3f5c2f241f68ddeba32c64f59","51286","a883b4ac-6ce4-43ed-95eb-36e07f8a5de4","Boursier.com","2026-03-27T00:04:16.000Z","2026-03-27T00:15:26.070Z","Copy of CONCURRENTS(1)","a0232cbd-6330-48a2-abe2-436356d85f52"
"258c00d1a0b9ace02b986e3600a6cb806800cf6df5d793376e368349421ef139","51286","d332fd1d-306d-44f7-9665-f16f4aff2f35","Boursier.com","2026-03-27T00:17:32.000Z","2026-03-27T00:30:26.075Z","Copy of ACTIONNAIRES(1)","bb8cb3a1-fe92-4865-a152-9f80f487cfb3"
"onclusive-fr-1249454121","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:15:36.553Z","Copy of finance durable gecina","c9defbda-5686-4012-bc90-ee248b325bfe"
"onclusive-fr-1249454166","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:15:36.553Z","Copy of finance durable gecina","c9defbda-5686-4012-bc90-ee248b325bfe"
"onclusive-fr-1249454767","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:30:26.103Z","Copy of logement Gecina","13a4fdb7-e70d-46ee-9e91-61f9b47a1425"
"onclusive-fr-1249454696","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T01:30:26.103Z","Copy of urbanisme et amenagement gecina","687d1f15-d397-4aab-90ab-634e499a39f3"
"onclusive-fr-1249454003","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:30:26.103Z","Copy of finance durable gecina","c9defbda-5686-4012-bc90-ee248b325bfe"
"onclusive-fr-1249455401","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T01:45:26.108Z","Copy of urbanisme et amenagement gecina","687d1f15-d397-4aab-90ab-634e499a39f3"
"onclusive-fr-1249455357","51286","f0201ea3-aee5-4b62-aae7-30dbdbfb99f8","Aujourd'hui en France","2026-03-27T00:00:00.000Z","2026-03-27T01:45:26.108Z","Copy of urbanisme et amenagement gecina","687d1f15-d397-4aab-90ab-634e499a39f3"
